N: 		Number of files with this category.
A: 		Number of files with word in category
B: 		Number of files with word but not in category
Score: 	Chi Squared value

N          A          B          score      word      
--------------------------------------------------------------------
2893.0     2176.0     420.0      2154.428   a         
2893.0     1359.0     238.0      1086.862   an        
2893.0     1458.0     230.0      1261.336   as        
2893.0     1527.0     284.0      1241.838   at        
2893.0     1744.0     343.0      1471.119   be        
2893.0     1491.0     267.0      1224.145   by        
2893.0     1404.0     6.0        1832.721   language  
2893.0     2206.0     375.0      2344.980   in        
2893.0     1869.0     373.0      1629.717   is        
2893.0     2326.0     397.0      2581.358   of        
2893.0     1892.0     343.0      1749.255   on        
2893.0     1585.0     320.0      1252.336   or        
2893.0     2178.0     434.0      2122.713   to        
2893.0     1200.0     1.0        1510.548   linguistics
2893.0     2412.0     481.0      2577.782   subject   
2893.0     1450.0     15.0       1882.176   university
2893.0     2230.0     433.0      2246.629   and       
2893.0     1587.0     313.0      1271.923   are       
2893.0     2051.0     417.0      1886.518   for       
2893.0     1496.0     322.0      1105.475   with      
2893.0     2313.0     440.0      2430.946   the       
2893.0     2176.0     420.0      2154.428   a         
2893.0     2313.0     440.0      2430.946   the       
2893.0     2412.0     481.0      2577.782   subject   
2893.0     1359.0     238.0      1086.862   an        
2893.0     1458.0     230.0      1261.336   as        
2893.0     1527.0     284.0      1241.838   at        
2893.0     1744.0     343.0      1471.119   be        
2893.0     1491.0     267.0      1224.145   by        
2893.0     1404.0     6.0        1832.721   language  
2893.0     2051.0     417.0      1886.518   for       
2893.0     2206.0     375.0      2344.980   in        
2893.0     1869.0     373.0      1629.717   is        
2893.0     2326.0     397.0      2581.358   of        
2893.0     1892.0     343.0      1749.255   on        
2893.0     1585.0     320.0      1252.336   or        
2893.0     2178.0     434.0      2122.713   to        
2893.0     1450.0     15.0       1882.176   university
2893.0     1496.0     322.0      1105.475   with      
2893.0     1200.0     1.0        1510.548   linguistics
2893.0     2230.0     433.0      2246.629   and       
2893.0     1587.0     313.0      1271.923   are       
2893.0     420.0      2176.0     2154.428   a         
2893.0     238.0      1359.0     1086.862   an        
2893.0     230.0      1458.0     1261.336   as        
2893.0     284.0      1527.0     1241.838   at        
2893.0     343.0      1744.0     1471.119   be        
2893.0     267.0      1491.0     1224.145   by        
2893.0     6.0        1404.0     1832.721   language  
2893.0     375.0      2206.0     2344.980   in        
2893.0     373.0      1869.0     1629.717   is        
2893.0     397.0      2326.0     2581.358   of        
2893.0     343.0      1892.0     1749.255   on        
2893.0     320.0      1585.0     1252.336   or        
2893.0     434.0      2178.0     2122.713   to        
2893.0     1.0        1200.0     1510.548   linguistics
2893.0     481.0      2412.0     2577.782   subject   
2893.0     15.0       1450.0     1882.176   university
2893.0     433.0      2230.0     2246.629   and       
2893.0     313.0      1587.0     1271.923   are       
2893.0     417.0      2051.0     1886.518   for       
2893.0     322.0      1496.0     1105.475   with      
2893.0     440.0      2313.0     2430.946   the       
2893.0     420.0      2176.0     2154.428   a         
2893.0     440.0      2313.0     2430.946   the       
2893.0     481.0      2412.0     2577.782   subject   
2893.0     238.0      1359.0     1086.862   an        
2893.0     230.0      1458.0     1261.336   as        
2893.0     284.0      1527.0     1241.838   at        
2893.0     343.0      1744.0     1471.119   be        
2893.0     267.0      1491.0     1224.145   by        
2893.0     6.0        1404.0     1832.721   language  
2893.0     417.0      2051.0     1886.518   for       
2893.0     375.0      2206.0     2344.980   in        
2893.0     373.0      1869.0     1629.717   is        
2893.0     397.0      2326.0     2581.358   of        
2893.0     343.0      1892.0     1749.255   on        
2893.0     320.0      1585.0     1252.336   or        
2893.0     434.0      2178.0     2122.713   to        
2893.0     15.0       1450.0     1882.176   university
2893.0     322.0      1496.0     1105.475   with      
2893.0     1.0        1200.0     1510.548   linguistics
2893.0     433.0      2230.0     2246.629   and       
2893.0     313.0      1587.0     1271.923   are       
